Value,Source,DMA
"Ottumwa, IA-Kirksville, MO",Datorama: Metro,Ottumwa-Kirksville
"Paducah, KY-Harrisburg, IL",Datorama: Metro,Paducah-Cape Girard-Harsbg
"Palm Springs, CA",Datorama: Metro,Palm Springs
"Panama City, FL",Datorama: Metro,Panama City
"Parkersburg, WV",Datorama: Metro,Parkersburg
"Peoria-Bloomington, IL",Datorama: Metro,Peoria-Bloomington
"Philadelphia, PA",Datorama: Metro,Philadelphia
"Phoenix, AZ",Datorama: Metro,Phoenix (Prescott)
"Pittsburgh, PA",Datorama: Metro,Pittsburgh
"Portland, OR",Datorama: Metro,"Portland, OR"
"Portland-Auburn, ME",Datorama: Metro,Portland-Auburn
"Presque Isle, ME",Datorama: Metro,Presque Isle
"Providence, RI-New Bedford, MA",Datorama: Metro,Providence-New Bedford
"Quincy, IL-Hannibal, MO-Keokuk, IA",Datorama: Metro,Quincy-Hannibal-Keokuk
"Raleigh-Durham (Fayetteville), NC",Datorama: Metro,Raleigh-Durham (Fayetvlle)
"Rapid City, SD",Datorama: Metro,Rapid City
"Reno, NV",Datorama: Metro,Reno
"Richmond-Petersburg, VA",Datorama: Metro,Richmond-Petersburg
"Roanoke-Lynchburg, VA",Datorama: Metro,Roanoke-Lynchburg
"Rochester, NY",Datorama: Metro,"Rochester, NY"
"Rochester-Austin, MN-Mason City, IA",Datorama: Metro,Rochester-Mason City-Austin
"Rockford, IL",Datorama: Metro,Rockford
"Sacramento-Stockton-Modesto, CA",Datorama: Metro,Sacramnto-Stkton-Modesto
"Salisbury, MD",Datorama: Metro,Salisbury
"Salt Lake City, UT",Datorama: Metro,Salt Lake City
"San Angelo, TX",Datorama: Metro,San Angelo
"San Antonio, TX",Datorama: Metro,San Antonio
"San Diego, CA",Datorama: Metro,San Diego
"San Francisco-Oakland-San Jose, CA",Datorama: Metro,San Francisco-Oak-San Jose
"Santa Barbara-San Luis Obispo, CA",Datorama: Metro,Santabarbra-Sanmar-Sanluob
"Savannah, GA",Datorama: Metro,Savannah
"Seattle-Tacoma, WA",Datorama: Metro,Seattle-Tacoma
"Sherman, TX-Ada, OK",Datorama: Metro,Sherman-Ada
"Shreveport, LA",Datorama: Metro,Shreveport
"Sioux City, IA",Datorama: Metro,Sioux City
"Sioux Falls(Mitchell), SD",Datorama: Metro,Sioux Falls(Mitchell)
"South Bend-Elkhart, IN",Datorama: Metro,South Bend-Elkhart
"Spokane, WA",Datorama: Metro,Spokane
"Springfield, MO",Datorama: Metro,"Springfield, MO"
"Springfield-Holyoke, MA",Datorama: Metro,Springfield-Holyoke
"St. Joseph, MO",Datorama: Metro,St. Joseph
"St. Louis, MO",Datorama: Metro,St. Louis
"Syracuse, NY",Datorama: Metro,Syracuse
"Tallahassee, FL-Thomasville, GA",Datorama: Metro,Tallahassee-Thomasville
"Tampa-St Petersburg (Sarasota), FL",Datorama: Metro,Tampa-St. Pete (Sarasota)
"Terre Haute, IN",Datorama: Metro,Terre Haute
"Toledo, OH",Datorama: Metro,Toledo
"Topeka, KS",Datorama: Metro,Topeka
"Traverse City-Cadillac, MI",Datorama: Metro,Traverse City-Cadillac
"Tri-Cities, TN-VA",Datorama: Metro,"Tri-Cities, TN-VA"
"Tucson (Sierra Vista), AZ",Datorama: Metro,Tucson (Sierra Vista)
"Tulsa, OK",Datorama: Metro,Tulsa
"Twin Falls, ID",Datorama: Metro,Twin Falls
"Tyler-Longview(Nacogdoches), TX",Datorama: Metro,Tyler-Longview(Lfkn&Ncgd)
Unknown,Datorama: Metro,Unknown
"Utica, NY",Datorama: Metro,Utica
"Victoria, TX",Datorama: Metro,Victoria
"Waco-Temple-Bryan, TX",Datorama: Metro,Waco-Temple-Bryan
"Washington, DC (Hagerstown, MD)",Datorama: Metro,"Washington, DC (Hagrstwn)"
"Watertown, NY",Datorama: Metro,Watertown
"Wausau-Rhinelander, WI",Datorama: Metro,Wausau-Rhinelander
"West Palm Beach-Ft. Pierce, FL",Datorama: Metro,West Palm Beach-Ft. Pierce
"Wheeling, WV-Steubenville, OH",Datorama: Metro,Wheeling-Steubenville
"Wichita Falls, TX & Lawton, OK",Datorama: Metro,Wichita Falls & Lawton
"Wichita-Hutchinson, KS",Datorama: Metro,Wichita-Hutchinson Plus
"Wilkes Barre-Scranton, PA",Datorama: Metro,Wilkes Barre-Scranton-Hztn
"Wilmington, NC",Datorama: Metro,Wilmington
"Yakima-Pasco-Richland-Kennewick, WA",Datorama: Metro,Yakima-Pasco-Rchlnd-Knnwck
"Youngstown, OH",Datorama: Metro,Youngstown
"Yuma, AZ-El Centro, CA",Datorama: Metro,Yuma-El Centro
"Zanesville, OH",Datorama: Metro,Zanesville
Abilene/Sweetwater,Campaign Manager,Abilene-Sweetwater
Albany/Schenectady/Troy,Campaign Manager,"Albany, GA"
Albany-Ga,Campaign Manager,Albany-Schenectady-Troy
Albuquerque/Santa Fe,Campaign Manager,Albuquerque-Santa Fe
Alexandria-La,Campaign Manager,"Alexandria, LA"
Alpena,Campaign Manager,Alpena
Amarillo,Campaign Manager,Amarillo
Anchorage,Campaign Manager,Anchorage
Atlanta,Campaign Manager,Atlanta
Augusta,Campaign Manager,Augusta-Aiken
Austin-Tx,Campaign Manager,Austin
Bakersfield,Campaign Manager,Bakersfield
Baltimore,Campaign Manager,Baltimore
Bangor,Campaign Manager,Bangor
Baton Rouge,Campaign Manager,Baton Rouge
Beaumont/Port Arthur,Campaign Manager,Beaumont-Port Arthur
Bend-Or,Campaign Manager,"Bend, OR"
Billings,Campaign Manager,Billings
Biloxi/Gulfport,Campaign Manager,Biloxi-Gulfport
Binghamton,Campaign Manager,Binghamton
Birmingham,Campaign Manager,Birmingham (Ann And Tusc)
Bluefield/Beckley/Oak Hill,Campaign Manager,Bluefield-Beckley-Oak Hill
Boise,Campaign Manager,Boise
Boston,Campaign Manager,Boston (Manchester)
Bowling Green,Campaign Manager,Bowling Green
Buffalo,Campaign Manager,Buffalo
Burlington/Plattsburgh,Campaign Manager,Burlington-Plattsburgh
Butte/Bozeman,Campaign Manager,Butte-Bozeman
Casper/Riverton,Campaign Manager,Casper-Riverton
